Name,Artist,Popularity,Length,Release,Date_Added
Hard to Concentrate, Red Hot Chili Peppers, 58, 4.03, 2006, 2023-12
21st Century, Red Hot Chili Peppers, 51, 4.37, 2006, 2023-12
She Looks to Me, Red Hot Chili Peppers, 53, 4.1, 2006, 2023-12
If, Red Hot Chili Peppers, 48, 2.87, 2006, 2023-12
Make You Feel Better, Red Hot Chili Peppers, 53, 3.86, 2006, 2023-12
Animal Bar, Red Hot Chili Peppers, 49, 5.42, 2006, 2023-12
Storm in a Teacup, Red Hot Chili Peppers, 49, 3.75, 2006, 2023-12
Turn It Again, Red Hot Chili Peppers, 51, 6.09, 2006, 2023-12
Death of a Martian, Red Hot Chili Peppers, 50, 4.41, 2006, 2023-12
Your Love (Déjà Vu), Glass Animals, 54, 3.91, 2020, 2023-12
Do For Love, 2Pac, 78, 4.69, 1997, 2023-12
